"ID","gender","sped","frlunch","esol","black","white","hispanic","asian","age","pretest","posttest"
23450584,1,0,0,0,1,0,0,0,12.668036,225,192
23451232,1,0,1,0,1,0,0,0,12.199863,220,225
23451558,1,1,1,1,0,0,1,0,12.731006,200,213
23450212,1,1,1,0,1,0,0,0,12.156057,199,211
23451382,0,NA,1,NA,1,0,0,0,12.752909,205,223
23452667,0,0,1,0,1,0,0,0,12.438056,222,219
23451274,1,0,1,0,0,0,0,0,13.686516,208,220
23452230,1,0,1,0,1,0,0,0,12.865161,204,202
23450048,0,0,0,0,0,1,0,0,12.503765,214,232
23450443,1,0,1,0,0,0,0,0,12.350445,221,222
23451257,1,0,1,0,0,0,1,0,11.791923,220,219
23452355,0,0,0,0,1,0,0,0,12.813142,206,231
23451672,1,1,0,0,0,0,1,0,13.431896,218,211
23450898,0,0,0,0,1,0,0,0,12.988364,206,227
23450848,1,1,0,0,0,1,0,0,13.05681,206,226
23450638,1,0,1,0,1,0,0,0,14.576318,213,223
23451016,0,0,1,0,1,0,0,0,12.325804,194,214
23450632,0,0,1,1,1,0,0,0,13.054073,217,216
23450182,1,1,0,0,1,0,0,0,12.229979,195,224
23451726,1,1,1,0,0,0,1,0,14.245038,213,222
23452037,1,0,1,0,1,0,0,0,12.120465,191,195
23452451,1,1,0,0,0,1,0,0,13.475702,229,227
23451065,0,0,1,0,0,1,0,0,12.005476,214,234
23451208,1,0,1,1,1,0,0,0,13.355236,216,217
23450952,0,0,0,0,0,1,0,0,12.73922,203,216
23452108,1,0,0,0,0,1,0,0,13.568789,227,209
23452369,0,0,1,1,0,0,1,0,12.908966,219,198
23451869,1,0,1,0,1,0,0,0,13.201916,223,226
23452696,0,0,1,0,0,0,0,0,12.334018,220,218
23452680,0,0,0,0,0,1,0,0,12.498289,230,229
23452005,0,0,0,0,0,1,0,0,12.353183,219,233
23452228,1,0,1,0,1,0,0,0,13.40178,192,201
23451467,0,0,1,1,0,0,1,0,12.295688,226,229
